Date	Price	Earnings
2012.09	2034.390294	121.9151463
2012.1	2027.285984	121.9672805
2012.11	1975.580567	122.5526454
2012.12	2020.377066	122.8883139
2013.01	2096.722252	123.0877748
2013.02	2124.51721	122.6451152
2013.03	2172.949526	122.8810852
2013.04	2203.080838	124.5284653
2013.05	2295.969589	125.8239424
2013.06	2261.043258	127.0358879
2013.07	2329.83791	128.5775422
2013.08	2329.004941	130.012832
2013.09	2350.090494	131.4497294
2013.1	2402.047753	134.5030179
2013.11	2495.837983	137.4977408
2013.12	2529.975889	140.2292226
2014.01	2540.92762	140.0115684
2014.02	2524.17574	139.7967126
2014.03	2572.17937	139.2012371
2014.04	2564.745441	139.7848128
2014.05	2590.792057	140.3356551
2014.06	2664.413795	141.1102468
2014.07	2701.060027	142.4612607
2014.08	2689.714572	143.997743
2014.09	2731.127295	145.1865807
2014.1	2661.136317	143.8809708
2014.11	2823.776007	142.9817113
2014.12	2853.351565	142.1071225
2015.01	2830.43264	141.3555612
2015.02	2893.254876	139.3269938
2015.03	2873.084244	137.0937414
2015.04	2887.753695	134.8213901
2015.05	2896.53408	132.1535502
2015.06	2869.134351	129.7150661
2015.07	2861.903878	127.7703178
2015.08	2791.69095	126.0127347
2015.09	2665.196973	124.2673909
2015.1	2776.649627	122.4354553
2015.11	2859.217537	120.8025891
2015.12	2832.42456	119.318477
2016.01	2641.241408	119.0802573
2016.02	2619.564403	118.9410602
2016.03	2769.304434	118.3900073
2016.04	2829.288554	118.0494661
2016.05	2804.324895	117.7910135
2016.06	2819.962681	117.6219264
2016.07	2912.648609	118.7929792
2016.08	2939.835449	119.6634925
2016.09	2914.871814	120.3536791
2016.1	2891.448873	122.6594325
2016.11	2925.642403	125.3099645
2016.12	3034.972571	127.7275994
2017.01	3055.652204	129.5572968
2017.02	3119.425095	131.7126596
2017.03	3166.26891	134.1652973
2017.04	3146.890024	135.4269824
2017.05	3192.232352	136.9682929
2017.06	3240.78731	138.4996224
2017.07	3269.819116	139.9542806
2017.08	3262.873265	140.891426
2017.09	3294.077897	141.4971924
2017.1	3380.99686	142.8207825
2017.11	3429.321067	144.0513798
2017.12	3524.913693	145.3709048
2018.01	3670.898768	147.0219212
2018.02	3543.458545	148.7858924
2018.03	3532.340844	150.8724113
2018.04	3454.386625	153.3298485
2018.05	3502.123767	155.7369459
2018.06	3564.967636	158.5264168
2018.07	3615.576942	161.9281422
2018.08	3696.586192	165.2487588
2018.09	3748.730092	168.4635246
2018.1	3592.459702	169.0262268
2018.11	3524.003627	170.456959
2018.12	3332.879996	171.8686028
2019.01	3378.470443	172.4053615
2019.02	3554.526405	172.5398457
2019.03	3597.609299	172.4273046
2019.04	3706.058439	171.8934858
2019.05	3635.666455	171.9019232
2019.06	3680.094286	172.2412017
2019.07	3808.629816	170.9496367
2019.08	3683.457467	169.9540078
2019.09	3788.111305	168.817457
2019.1	3773.798003	171.2079109
2019.11	3937.148748	174.0767808
2019.12	4031.91936	177.0148351
2020.01	4144.603467	166.578812
2020.02	4132.155299	156.3982835
2020.03	3351.527461	146.9929592
2020.04	3513.487727	140.7315829
2020.05	3713.947643	133.4780532
2020.06	3927.845195	125.5403054
2020.07	4037.678628	124.4846995
2020.08	4255.98809	123.6709505
2020.09	4217.246594	123.077079
2020.1	4282.114226	121.3183797
2020.11	4448.027231	119.6838108
2020.12	4627.053772	117.8641498
2021.01	4730.191467	131.5248338
2021.02	4815.649824	144.8915707
2021.03	4815.118808	157.8562657
2021.04	5057.578936	169.0103145
2021.05	5049.67105	180.0080498
2021.06	5087.986148	190.5793732
2021.07	5213.228903	196.3053995
2021.08	5310.368694	202.5254238
2021.09	5285.68474	208.5836543
2021.1	5260.013468	215.6853235
2021.11	5476.817588	223.4079529
2021.12	5468.681941	231.4739472
2022.01	5305.93215	229.5579129
2022.02	5099.456029	227.4954419
2022.03	4981.542331	224.5132084
2022.04	4953.921829	221.1421829
2022.05	4508.325239	216.6295305
2022.06	4291.583521	211.6212194
2022.07	4306.162269	209.8004883
2022.08	4579.507838	208.0284828
2022.09	4231.183723	205.7395964
2022.1	4077.867271	199.6259827
2022.11	4291.715309	194.5400695
2022.12	4299.319076	189.8351361
2023.01	4317.846368	189.2087897
2023.02	4422.91988	189.0330021
2023.03	4288.247739	189.280878
2023.04	4431.056665	190.4210118
2023.05	4446.420266	192.030289
2023.06	4645.046623	193.4931516
2023.07	4809.795115	194.2770462
2023.08	4735.005398	194.5795701
2023.09	4672.124536	195.2416416
2023.1	4525.831948	198.2069591
2023.11	4737.492749	201.5034539
2023.12	4981.42401	204.6029637
2024.01	5092.504257	203.1278276
2024.02	5267.5372	201.5139231
2024.03	5399.334062	199.8576649
2024.04	5317.980211	200.9445239
2024.05	5436.612336	202.47004
2024.06	5621.551015	204.2599582
2024.07	5742.426882	205.2361177
2024.08	5675.810408	206.2814157
2024.09	5814.687942	207.161286
2024.1	5984.743025	210.3326869
