date,noncomm_net,comm_net,nonrept_net,noncomm_idx,comm_idx,nonrept_idx
2012-01-24,79558,-111381,31823,92.18129043633947,4.4367888088526986,74.13066139747639
2012-01-31,108522,-119100,10578,100.0,0.4076625952604656,57.6035038040857
2012-02-07,120232,-130722,10490,100.0,0.0,57.53504582017332
2012-02-14,128083,-138382,10299,100.0,0.0,57.38646087781806
2012-02-21,112672,-120127,7455,91.64489021415018,8.68950547645908,55.1740233068318
2012-02-28,123612,-131183,7571,97.57603686635944,3.426773482609089,55.26426337653447
2012-03-06,120400,-129569,9169,95.83464353483329,4.195048576501445,56.50739812985235
2012-03-13,138787,-137743,-1044,100.0,0.30416839219158326,48.56238233784015
2012-03-20,90379,-87955,-2424,75.19497422548346,24.003598611963955,47.488836681032474
2012-03-27,82181,-75446,-6735,70.99418920442318,29.957968593066482,44.13517340096152
2012-04-03,93129,-83221,-9908,76.60411777365567,26.257015151298784,41.66679632193923
2012-04-10,102717,-93683,-9034,81.51716080633756,21.27703124033111,42.34670857125076
2012-04-17,115493,-111774,-3719,88.0637855232278,12.665590891132467,46.48141521323106
2012-04-24,105555,-108318,2763,82.97139694805128,14.31067064608413,51.52396807368569
2012-05-01,91610,-90858,-752,75.82575811922892,22.621750658079502,48.78953837536757
2012-05-08,41669,-42141,472,50.23519886858583,45.81137751629134,49.741726697057864
2012-05-15,67984,-73433,5449,63.71942158500466,30.916170429501,53.61349244628382
2012-05-22,47166,-46630,-536,53.051948717423166,43.67458266097363,48.95757160860703
2012-05-29,30267,-33227,2960,44.392633509945995,50.05450278702025,51.67722060585316
2012-06-05,23741,-25741,2000,41.048607766174406,53.6178902423351,50.93040623589999
2012-06-12,18650,-23508,4858,38.43989874663087,54.680813590948254,53.1537348497814
2012-06-19,53569,-67275,13706,56.33294731340377,33.847420756755724,60.036873959516434
2012-06-26,58618,-68288,9670,58.920134867847956,33.36522579386046,56.897141879171656
2012-07-03,63752,-78975,15223,61.55087776832655,28.278140336346457,61.21699625036952
2012-07-10,47166,-60820,13654,53.051948717423166,36.92004512545161,59.996421514477305
2012-07-17,42234,-59069,16835,50.52471381575576,37.753533161018844,62.47102204658255
2012-07-24,58234,-67116,8882,58.72336718693955,33.92310584964847,56.284131750501764
2012-07-31,78348,-91782,13434,69.03009930618896,22.181920306929232,59.82527655469637
2012-08-07,101840,-112702,10862,81.06777211842955,12.223856512488041,57.824436388530174
2012-08-14,106533,-118994,12461,83.4725396353649,9.228821264179055,59.068349073483425
2012-08-21,124275,-130968,6693,92.56382139233631,3.5291149604200283,54.58123940068147
2012-08-28,142213,-139611,-2602,100.0,0.0,47.35036484993699
2012-09-04,145985,-142596,-3389,100.0,0.0,46.738132652902465
2012-09-11,144353,-146007,1654,99.1934846208587,0.0,50.661241890062705
2012-09-18,133896,-130186,-3710,94.02575709654464,7.267140088008599,46.488416597949374
2012-09-25,123423,-146978,23555,88.85012255870957,0.0,67.69872263625473
2012-10-02,104773,-123756,18983,79.63350992330197,10.619315245773446,64.14201919935276
2012-10-09,82706,-99502,16796,68.72825571281727,21.7105594095401,62.4406827128032
2012-10-16,72009,-87632,15623,63.44192298568831,27.138656557388295,61.52816890451667
2012-10-23,49388,-67864,18476,52.26288843203922,36.178473273366656,63.747607860221244
2012-10-30,48058,-66365,18307,51.605617933106664,36.86395917266105,63.61613741384407
2012-11-06,39040,-52646,13606,47.14902743733692,43.13759563191373,59.95908079597965
2012-11-13,22899,-33833,10934,39.17233335969004,51.740695180563115,57.880447466276664
2012-11-20,-8958,-989,9947,23.428975251047678,66.76010737297476,57.11262894216856
2012-11-27,-2423,-12134,14557,26.658496086028308,61.66354943592604,60.69889378121451
2012-12-04,18127,-38424,20297,36.81406657705384,49.64125170914179,65.16422136822617
2012-12-11,38749,-58015,19266,47.005218628923856,40.68237629014482,64.36217385216187
2012-12-18,36725,-56133,19408,46.00498141851823,41.54300635183398,64.47264014438412
2012-12-25,38278,-59322,21044,46.77245591839962,40.0846911197794,65.74533629984597
2013-01-01,24351,-41997,17646,39.889894836720174,48.007335019229274,63.1019246028659
2013-01-08,46613,-61444,14831,50.89151577449197,39.114310146929036,60.91204704930531
2013-01-15,41118,-57867,16749,48.1759508183759,40.75005601869424,62.40411992594091
2013-01-22,48149,-61261,13112,51.650589072507316,39.197995216689456,59.57478256810791
2013-01-29,56904,-68400,11496,55.977208033525734,35.93336290510662,58.317645045353416
2013-02-05,64737,-67110,2373,59.84818534039693,36.523274052598126,51.22057473589221
2013-02-12,57345,-65630,8285,56.19514509369811,37.20007133809226,55.819706564187136
2013-02-19,68434,-72492,4058,61.67519965209141,34.06210986980798,52.531389541487094
2013-02-26,46721,-52158,5437,50.94488811575868,43.36075581794153,53.604157266659406
2013-03-05,77822,-88012,10190,66.31463983553412,26.964884281383043,57.301666329562956
2013-03-12,87415,-94886,7471,71.05538862971456,23.82143526754071,55.18647021299768
2013-03-19,96473,-109271,12798,75.53174665928678,17.243240029815663,59.3305120346024
2013-03-26,96211,-106435,10224,75.40226931288052,18.540129963370635,57.32811600516547
2013-04-02,116519,-125958,9439,85.43824622440104,9.612350635869342,56.71743967140168
2013-04-09,86366,-91651,5285,70.53698505574445,25.30078609090119,53.48591165808349
2013-04-16,108223,-113762,5539,81.33845971376611,15.189526104711515,53.68350629346693
2013-04-23,81887,-92932,11045,68.32351545821143,24.714990602578233,57.9667978778025
2013-04-30,130502,-133837,3335,92.34848185340397,6.00931968153944,51.968944969116116
2013-05-07,132288,-136542,4254,93.23110223768482,4.772335453659964,54.00170641660487
2013-05-14,131466,-134442,2976,92.8248794180438,5.732655926320555,53.264659906208664
2013-05-21,128740,-132629,3889,91.4777219894046,6.561732601050865,53.99655296805483
2013-05-28,148870,-155078,6208,100.0,0.0,55.85554531243737
2013-06-04,137213,-139794,2581,94.32022491071298,6.7396605475863955,52.94801394845485
2013-06-11,96565,-99834,3269,74.5148291974644,24.36049511193816,70.03526004281576
2013-06-18,102087,-113214,11127,77.20537719806858,18.46042588093149,78.28149267514587
2013-06-25,53245,-65486,12241,53.407523984466735,39.506651909144225,79.45053099945432
2013-07-02,54141,-64132,9991,53.84409243947241,40.103714221459846,77.08936741804139
2013-07-09,67292,-81797,14505,60.25180644815506,32.31412356632286,81.8263862653738
2013-07-16,88973,-102692,13719,70.81569112781808,23.100226213416704,81.00155312093355
2013-07-23,117896,-129668,11772,84.90817932439083,11.204839997001459,78.95835956848424
2013-07-30,120051,-126352,6301,85.95818492766898,12.66706941180102,73.2170591445242
2013-08-06,124592,-129383,4791,88.17074893903145,11.330514117392857,71.63245602988708
2013-08-13,126258,-135934,9676,88.98249341005764,8.441773195694449,76.75880451664358
2013-08-20,102223,-112835,10612,77.27164205284622,18.62755041296075,77.74104856651135
2013-08-27,81969,-84826,2857,66.04734016098091,32.3414050271614,69.60290475590816
2013-09-03,83326,-89017,5691,63.28252357024016,32.99717285541603,72.57692146245225
2013-09-10,91852,-96577,4725,65.62074163400663,29.22098680332864,71.56319523149897
2013-09-17,113306,-117548,4242,78.55652698221284,18.74606647286241,71.05633211602233
2013-09-24,118706,-133190,14484,81.8124811576726,10.932957712710163,81.80434873861394
2013-10-01,136330,-146130,9800,92.43895085921012,4.469485819322484,76.88893086513033
2013-10-08,104408,-119630,15222,73.19143804642749,17.70611682200977,82.57881039331738
2013-10-15,104350,-119664,15314,73.15646668676514,17.689133974685568,82.67535574864627
2013-10-22,111033,-117769,6736,77.18601145613506,18.63567796525509,73.67355077026403
2013-10-29,127716,-135418,7702,87.24510099487489,9.82008171746536,74.68727700121731
2013-11-05,139296,-147366,8070,94.22731383780524,3.852109369536768,75.07345842253285
