date,noncomm_net,comm_net,nonrept_net,noncomm_idx,comm_idx,nonrept_idx
2017-03-28,85295,-87645,2350,55.01500139547865,43.150043987201684,20.73866657214759
2017-04-04,94034,-93038,-996,60.09628802679319,40.12809521408039,14.8087760961259
2017-04-11,97748,-97206,-542,62.25579123639408,37.79257092586055,15.613369723177259
2017-04-18,105838,-105619,-219,66.95971718299377,33.07837566751279,16.18580087193847
2017-04-25,114523,-113568,-955,72.00960554470183,28.624181193650152,14.881437635132741
2017-05-02,105833,-104201,-1632,66.95680993580798,33.872947030443626,13.681636125190515
2017-05-09,94487,-91864,-2623,60.35968462182529,40.785942026549215,12.355857510099156
2017-05-16,78538,-75189,-3349,51.086147548609176,50.12972021898342,15.524866164946854
2017-05-23,74083,-71506,-2577,48.49579030607499,52.1934764458341,17.521400677580367
2017-05-30,80309,-79322,-987,52.115894501814125,47.813808058903625,22.71492966925542
2017-06-06,92492,-94876,2384,59.19969299469718,39.09817831346905,31.86878835605279
2017-06-13,101584,-104816,3232,64.48623127732813,33.528333921697175,34.171509259762125
2017-06-20,70942,-78769,7827,46.66945762396502,48.123679683516286,46.64910660946071
2017-06-27,51202,-53252,2050,35.191645734486926,62.422041790643334,30.961820452940856
2017-07-04,38579,-40695,2116,27.852009489254815,69.45831302077204,31.141041655352197
2017-07-11,30730,-24806,-5924,23.288212857009956,78.36165884983274,9.308640634334438
2017-07-18,38761,-31885,-6876,27.95783328681738,74.39496584687971,6.723510563189051
2017-07-25,53275,-46573,-6702,36.396990417713276,66.1645961862816,7.196002824091674
2017-08-01,55787,-50092,-5695,37.85759140385152,64.19273678842997,9.93048389724651
2017-08-08,42998,-33983,-9015,30.421434552051355,73.21935885151377,0.9151143214033564
2017-08-15,47162,-35508,-11654,32.84259000837287,72.36483041112623,0.0
2017-08-22,39063,-33014,-6049,28.133431016838777,73.7623346277338,14.32478020854631
2017-08-29,42163,-34130,-8033,29.935924272025304,73.1369879133256,9.254242486199141
2017-09-05,44135,-34553,-9582,31.0825425620988,72.89996133609024,5.295440605193212
2017-09-12,47582,-38448,-9134,33.08679877197879,70.71741164736272,6.440400736045798
2017-09-19,38529,-34859,-3670,27.822937017396967,72.72849530149445,20.404825189122878
2017-09-26,28273,-24804,-3469,21.85959158991534,78.3627795428693,20.918523819259864
2017-10-03,29184,-25481,-3703,22.389292027165318,77.98342494998907,20.320486608055614
2017-10-10,30056,-24805,-5251,22.896315936366175,78.36221919635102,16.36424044162748
2017-10-17,28936,-22024,-6912,22.245092566750394,79.92054286370691,12.119198527908404
2017-10-24,35427,-33440,-1987,26.019280863336125,73.52362701094357,24.706092823553465
2017-10-31,42009,-39613,-2396,29.846381058703134,70.06460795355848,23.66080556123492
2017-11-07,28742,-24501,-4241,22.132291375941946,78.53256453791025,18.94551216520139
2017-11-14,27589,-23081,-4508,21.461880174899992,79.32825659387765,18.26313637292987
2017-11-21,15685,-13581,-2104,14.54030607498372,84.65154851760329,24.40707421795134
2017-11-28,5611,-2949,-2662,8.682784445064657,90.6091527000297,22.980985483541197
2017-12-05,6104,-9496,3392,8.969439017583031,86.94056404480531,38.45328153751789
2017-12-12,6670,-7956,1286,9.298539399013862,87.80349768296715,33.070946636679615
2017-12-19,4041,-7438,3397,7.769908828728254,88.09375717943976,38.46606011040687
2017-12-26,2871,-9709,6838,7.089612987254628,86.8212102364102,47.26027397260274
2018-01-02,17860,-19192,1332,15.804958600800074,81.50744420349544,33.18850950725823
2018-01-09,16200,-15671,-529,14.839752535119546,83.48042429438365,28.432324677979963
2018-01-16,25404,-25883,479,20.191413154712066,77.75816564963773,31.008484972398282
2018-01-23,14986,-17274,2288,14.133872918411015,82.58218882556973,35.63177264363116
2018-01-30,22371,-27489,5118,18.427877011815053,76.85824914126896,42.8644448987937
2018-02-06,12492,-18342,5850,12.683738022141595,81.98373874403931,47.96930665935873
2018-02-13,-10416,9286,1130,0.0,97.46499235127003,38.22052140636212
2018-02-20,-8293,13551,-5258,1.2266145899536625,99.85487025176369,23.301395314947722
2018-02-27,2832,2088,-4920,7.654352372918568,93.43161811264086,25.87313174780036
2018-03-06,5922,-5613,-309,9.439674597580282,89.11638957531338,43.5893495216506
2018-03-13,19136,-21936,2800,17.074382648285745,79.96985335731617,55.65652676164805
2018-03-20,12159,-14962,2803,13.043252175319799,83.87770997584907,56.67633683550259
2018-03-27,17572,-17746,174,16.17074382648286,82.31770526893831,46.36976634781245
2018-04-03,-15792,11915,3877,0.0,98.9381433478463,60.88678061784538
2018-04-10,-6664,4645,2019,5.11504365270602,94.86442415990048,53.602791281166695
2018-04-17,-7884,10264,-2380,4.431394084750131,98.01301124615462,36.357221263917204
2018-04-24,-24707,22131,2576,0.0,100.0,55.786419946683395
2018-05-01,-13868,16111,-2243,5.784841676051001,96.7769913589104,36.89430766818253
2018-05-08,-6613,10444,-3831,9.656880273684548,93.74297309162553,30.66880978516544
2018-05-15,-38,11954,-11916,13.165998644386212,94.55140216937393,0.0
2018-05-22,-3710,2286,1424,11.206229418954042,89.37531453780343,51.765618936748155
2018-05-29,6371,-3746,-2625,16.586521783219208,86.14588129477144,36.0535506402794
2018-06-05,11114,-9231,-1883,19.117890366069094,83.20930282361256,38.93286767559177
2018-06-12,8413,-6708,-1705,17.67634987644701,84.56007538199613,39.62359332557237
2018-06-19,22790,-19091,-3699,25.349444144975955,77.93042156096412,31.88591385331781
2018-06-26,13529,-12822,-707,20.406790877893354,81.28674069235794,43.496313542879314
2018-07-03,16152,-17009,857,21.806702282661487,79.04508999796555,49.56538610787738
2018-07-10,21604,-21135,-469,24.716468572709466,76.8360976967802,44.41986806363989
2018-07-17,39196,-39784,588,34.10542832592371,66.85173089483997,48.52153667054715
2018-07-24,32873,-35074,2201,30.730803921673274,69.37338715722072,57.49368738291113
2018-07-31,43224,-42588,-636,36.255196964279044,65.35051557430587,45.939561782194346
2018-08-07,36673,-31531,-5142,32.75888754276321,71.27025088070585,27.588173006434797
2018-08-14,37469,-31044,-6425,33.18371769075994,71.53098264286709,22.362955119328827
2018-08-21,31074,-29613,-1461,29.770666438952013,72.29711642449486,42.579620428443434
2018-08-28,37416,-33434,-3982,33.1554312613079,70.2514160893448,32.312454182617905
2018-09-04,44618,-38871,-5747,36.999183429489406,67.34053602595539,25.124216013684126
2018-09-11,34695,-34441,-254,31.703216647364293,69.7122849096808,47.49531644538568
2018-09-18,29330,-29084,-246,28.83988279811495,72.5803342934544,47.5278976948766
2018-09-25,36291,-35203,-1088,32.555011768222066,69.30432268634023,44.09872118595748
2018-10-02,36227,-34363,-1864,32.52085457039318,69.75404482230621,40.93833998533844
2018-10-09,11313,-12128,815,19.224097903068277,81.65829683802508,51.84898590860959
2018-10-16,372,6521,-6893,13.384818192977493,91.6426636399653,20.456952024110123
2018-10-23,9282,-8116,-1166,18.140140578217313,83.80625542075789,43.78105400342103
2018-10-30,10248,-4232,-6016,18.65570078294702,85.8856849161054,24.028671499552008
2018-11-06,-592,6178,-5586,12.870325400679942,91.45902710111253,25.779913659688848
2018-11-13,-5402,13405,-8003,10.303198501352945,95.32824362090565,15.936303657245256
2018-11-20,4471,-1347,-3124,15.572479972674241,87.43026629975051,35.80679319051885
2018-11-27,13727,-9466,-4261,20.51246470867646,83.08348770224111,31.17618310662214
2018-12-04,-10324,11880,-1556,7.676296505825404,94.5117837907293,42.19271809073878
2018-12-11,-3044,4513,-1469,11.561677758860858,90.56761358160851,42.54703917895251
2018-12-18,3492,-5665,2173,15.049981587135546,85.11848036748724,57.37965300969292
2018-12-25,10782,-15837,5055,18.94069990233176,79.67255945433715,69.11704813879612
2019-01-01,-8792,12995,-4203,8.493934428854294,95.10873638787463,31.412397165431294
2019-01-08,-6046,23205,-17159,9.959491698199809,100.0,0.0
2019-01-15,-14711,34323,-19612,5.334927335898681,100.0,0.0
2019-01-22,-14201,24429,-10228,5.607117506097594,95.02749102897866,29.09767441860465
2019-01-29,-18510,34346,-15836,3.307377421024823,100.0,11.708527131782946
2019-02-05,-23512,41398,-17886,0.6377789282111769,100.0,5.351937984496124
2019-02-12,-26793,42739,-15946,0.0,100.0,11.367441860465116
2019-02-19,-25723,41219,-15496,0.5647779156000106,99.26708134432711,12.762790697674419
2019-02-26,-19450,34833,-15383,3.8758544245335305,96.18785862384878,13.113178294573643
2019-03-05,-21213,38219,-17006,2.945290438362672,97.82053136602536,8.08062015503876
2019-03-12,-13652,30540,-16888,6.936211765326859,94.11784560489899,8.446511627906977
2019-03-19,2255,7599,-9854,15.332400833971128,83.0560779208255,30.25736434108527
2019-03-26,7413,1020,-8433,18.054947085059776,79.88379381840976,34.66356589147287
2019-04-02,7141,259,-7400,17.911377371935288,79.51685230724722,37.86666666666667
2019-04-09,7394,672,-8066,18.04491831833417,79.71599402092676,35.8015503875969
2019-04-16,-8522,18804,-10282,9.643978781240929,88.45894208978254,28.930232558139537
2019-04-23,-6040,15324,-9284,10.954052413501888,86.7809441149525,32.02480620155039
2019-04-30,-2408,9567,-7159,12.871130347575942,84.00501470659145,38.61395348837209
2019-05-07,-9346,13302,-3956,9.209047003246154,85.80596942957713,48.54573643410853
2019-05-14,11482,-3711,-7771,20.20268665382281,77.6025845026279,36.716279069767445
2019-05-21,12962,-6402,-6560,20.983874798764877,76.30502917209122,40.47131782945736
2019-05-28,17721,-14402,-3319,23.495816948615765,72.44756256328657,50.520930232558136
2019-06-04,4209,859,-5068,16.363780317225725,79.80616230290757,45.097674418604655
2019-06-11,11563,-4881,-6682,20.245440869863558,77.03843001109021,40.093023255813954
2019-06-18,21474,-20527,-947,25.47676229183711,69.49418969092049,57.87596899224806
2019-06-25,22570,-18663,-3907,26.055263782956374,70.39297941077197,48.69767441860465
2019-07-02,24602,-19556,-5046,27.127813992768733,69.96238970056416,45.16589147286822
2019-07-09,17931,-11650,-6281,23.606661212425113,73.77453107671536,41.33643410852713
2019-07-16,25477,-20983,-4494,27.589665091974346,69.27431409421862,46.87751937984496
2019-07-23,23334,-19336,-3998,26.458525771291335,70.06847003230628,48.415503875968994
2019-07-30,24973,-18789,-6184,27.323638858831913,70.3322243116833,41.63720930232558
2019-08-06,39039,-28198,-10841,34.74809321474756,65.79536139640291,27.196899224806202
2019-08-13,24195,-15224,-8971,26.912987252909662,72.05120786923189,32.9953488372093
2019-08-20,23577,-13063,-10514,26.58678841941358,73.09320603693524,28.210852713178294
2019-08-27,22884,-10139,-12745,26.221002348842735,74.50311008245335,21.293023255813953
2019-09-03,24454,-16104,-8350,27.049695178274526,71.62688654226336,34.92093023255814
2019-09-10,26897,-23389,-3508,28.339183447256605,68.11418101162062,49.93488372093023
2019-09-17,34793,-26272,-8521,32.50692776648808,66.72404648247263,34.390697674418604
2019-09-24,13779,-7021,-6758,21.415111767966007,76.00655769323497,39.85736434108527
2019-10-01,26772,-18366,-8406,28.27320471879866,70.53618785862385,34.74728682170543
2019-10-08,18059,-10722,-7337,23.67422343036605,74.22199720333671,38.55697952004021
2019-10-15,32402,-19800,-12602,31.244886648544508,69.84473696899562,22.019097876617664
2019-10-22,31088,-25173,-5915,36.518902685241265,61.09510251548187,43.02362105792185
2019-10-29,40429,-31629,-8800,47.56856973024993,52.421836514039676,33.96155295891444
2019-11-05,41168,-28871,-12297,48.09151122307453,54.186312833078496,22.977132805628848
2019-11-12,39874,-27811,-12063,47.175832885165164,54.86446544300639,23.71214976755874
2019-11-19,34574,-22237,-12337,43.42537292309434,58.43052454464611,22.851488880512626
2019-11-26,33253,-22172,-11081,42.490588468397064,58.472109374500185,26.796708129161956
2019-12-03,22106,-13261,-8845,34.60259277081151,64.1730696641865,33.82020354315869
2019-12-10,12200,-3174,-9026,27.59277081151462,70.6263954909249,36.27578644369817
2019-12-17,7897,526,-8423,24.547821902686177,72.99353195954116,38.342128709478445
2019-12-24,13482,-10324,-3158,28.499957541962694,66.05206420697729,59.19556770758383
2019-12-31,25636,-26294,658,37.100540632341705,55.834991395139056,73.87295455373739
2020-01-07,16675,-12352,-4323,30.759432760621586,64.75461751553034,55.71996063996502
2020-01-14,16726,-14614,-2112,30.795522092332078,63.30746543660872,63.777834469186196
2020-01-21,8994,-3363,-5631,25.324096351439326,70.50547960104154,50.95302306935384
2020-01-28,24381,-17375,-7006,36.21246001868154,61.541069817730495,45.94190750391778
2020-02-04,21290,-11084,-10206,34.02516346344363,65.56584158099126,34.27967491526659
2020-02-11,8730,-5394,-3336,25.137280987290893,69.20611360975516,59.317030504027116
2020-02-18,18401,-14312,-4089,31.98080896713748,63.500674953776866,56.57276139801013
2020-02-25,39578,-43074,3496,46.96637323445328,45.099707626657796,84.2158970807974
2020-03-03,32212,-33679,1467,41.75394152112995,51.11031495710365,76.82131273005577
2020-03-10,17669,-22362,4693,31.46282091199864,58.350553718003674,88.57830095848973
2020-03-17,22416,-24359,1943,34.8219592968949,57.07293979156404,78.55606982761762
2020-03-24,27417,-25601,-1816,38.36083670638852,56.278349658044746,64.85659098363644
2020-03-31,21403,-13827,-7576,34.1051261003708,63.810961761149535,43.86457232406429
2020-04-07,14014,-5550,-8464,28.87641880607999,69.10631001810539,40.62830278071358
2020-04-14,249,8028,-8277,19.135837414022475,77.79306109131389,41.309814497612884
2020-04-21,8724,-4263,-4461,26.77981692880732,68.14611500796313,55.217026859579434
2020-04-28,11001,-8139,-2862,29.43985293315781,65.51929788892278,61.04449870622107
2020-05-05,12846,-10270,-2576,30.877026258597724,64.07509064416658,62.08681074383177
2020-05-12,8447,-8935,488,27.450399993768354,64.9798380264986,73.25339844746529
2020-05-19,-4954,2815,2139,17.01161422996331,72.94297041781032,79.27038157367251
2020-05-26,3439,-5114,1675,23.54938968818402,67.56938090881366,77.57935784831808
2020-06-02,12597,-9583,-3014,30.68306628134323,64.54067974653519,60.49054265826014
2020-06-09,10157,-3636,-6521,37.8063129892055,61.83378872173026,47.709464630635225
2020-06-16,25187,-27216,2029,62.94502300799225,27.12337614984738,81.81852551984878
2020-06-23,38966,-38786,-180,79.63066117704045,12.17912119873749,73.46691871455576
2020-06-30,43819,-43020,-799,85.50738677645919,7.618144800766985,71.12665406427222
2020-07-07,44700,-43010,-1690,86.57423104868006,7.628917064342731,67.75803402646503
2020-07-14,35614,-32666,-2948,75.57156696536691,18.771746507093535,63.00189035916824
2020-07-21,15709,-17755,2046,51.46766771615403,34.83426872488716,81.882797731569
2020-07-28,24106,-29255,5149,68.43563025210084,16.10362066353583,93.61436672967864
2020-08-04,18257,-21944,3687,60.57142857142857,24.623308822672556,88.08695652173913
2020-08-11,12501,-16429,3928,52.83226890756303,31.050073998112175,88.99810964083176
2020-08-18,21207,-27389,6182,64.53781512605042,18.278116369314674,97.51984877126654
2020-08-25,19720,-26639,6919,62.53848739495798,19.152109820190415,100.0
2020-09-01,8632,-15324,6692,47.63025210084034,32.33775768240243,99.14439712034978
2020-09-08,-18470,-4035,22505,11.641699187333026,45.49310710498409,100.0
2020-09-15,-80871,55882,24989,0.0,100.0,100.0
2020-09-22,-134311,119392,14919,0.0,100.0,77.42203089616825
2020-09-29,-79694,64423,15271,30.510415561054906,66.16584393042237,78.2112508688146
2020-10-06,-75013,60125,14888,33.12533866633894,63.52036733839696,77.35252572812269
2020-10-13,17868,-32705,14837,85.01097697906833,6.382258441766277,77.23817851617677
2020-10-20,6063,-20989,14926,78.41641016473848,13.593613432964435,77.43772561153338
2020-10-27,-491,-9329,9820,74.75518264240745,20.7704996737779,65.98955180377122
2020-11-03,312,-10361,10049,75.20375842825301,20.13528984525993,66.50299320643035
2020-11-10,-15282,2810,12472,66.49256190960332,28.242216833060457,71.93560682495908
2020-11-17,-16478,8429,8049,65.82444654239124,31.700786626124852,62.01878881639425
2020-11-24,-22798,12395,10403,62.29393724407997,34.14191276944099,67.29669738346674
2020-12-01,-22623,13570,9053,62.3916965996503,34.86514101411988,64.26985942019238
2020-12-08,9068,-18101,9033,80.09507795610325,15.37121613137518,64.22501737629202
2020-12-15,12035,-23026,10991,81.75251800168705,12.339812637721122,68.61505347413735
2020-12-22,31197,-31052,-145,92.45688812419348,7.399702091514532,43.64700343041636
2020-12-29,19797,-22770,2973,86.08856438989783,12.497384068051161,50.637878074482636
2021-01-05,25783,-28063,2280,89.43249297529202,9.239471643297675,49.08410125333513
2021-01-12,20413,-20039,-374,86.43267732150538,14.178351162704812,43.13356202775722
2021-01-19,31611,-26703,-4908,92.68815882822844,10.076569866926002,32.96787067554539
2021-01-26,39662,-34948,-4714,97.1856478093525,5.001661886179262,33.402838501378895
2021-02-02,29069,-31598,2529,91.26813436045829,7.063631775263747,49.64238469989462
2021-02-09,25662,-26889,1227,89.36489936372625,9.962084374576834,46.72316764198112
2021-02-16,21105,-21216,111,86.8192457446749,13.453891891226473,44.220981592340976
2021-02-23,-5388,2899,2489,72.01959656110519,28.296997525636133,49.5527006120939
2021-03-02,-23493,29796,-6303,61.905692946243526,44.852461438085506,29.840138113495215
2021-03-09,-12494,24175,-11681,68.0500081000609,41.39266061822166,17.782112508688147
2021-03-16,-12327,19773,-7446,68.14329845651943,38.68317063262467,27.27741530458958
2021-03-23,-12658,19317,-6659,67.95839361826927,38.40249652234929,29.041949732068787
2021-03-30,-17865,25316,-7451,65.04963382138527,42.09496140730984,27.26620479361449
2021-04-06,-9396,12730,-3334,69.78062800610019,34.34810975834944,36.4969395305038
2021-04-13,-6111,10372,-4261,71.61571076637749,32.89672916179385,34.41851079572207
2021-04-20,-5125,6632,-1507,72.16651490690516,30.59470904681595,40.593260240801776
2021-04-27,-7758,14145,-6387,70.69565557423846,35.219061218962736,29.651801529113698
2021-05-04,-16803,24388,-7585,65.64289345347493,41.52376497236345,26.965763099482075
2021-05-11,-6011,16433,-10422,71.67157325527482,36.627355877537454,20.60491917221587
2021-05-18,-6102,12840,-6738,71.62073839037825,34.41581623231938,28.864823658662363
2021-05-25,-13295,22318,-9023,67.60254956399328,40.24965223492915,23.74162014304612
2021-06-01,-14549,23564,-9015,66.90203395322075,41.016581930988636,23.759556960606265
2021-06-08,-8500,17786,-9286,70.28115590662027,37.4601455073677,23.151947265756373
2021-06-15,-11034,22768,-11734,68.86560043796192,40.52663326480617,17.66328109235219
2021-06-22,-10365,19496,-9131,69.23932048868505,38.51267342090037,23.49947310598417
2021-06-29,-8099,20725,-12626,70.50516448709855,39.2691393891645,15.66332593439609
2021-07-06,-1571,17302,-15731,74.15186776231629,37.16223702189997,8.701598618865049
2021-07-13,-4256,21933,-17677,72.65195993542297,40.01267957603437,4.338467747359925
2021-07-20,-2282,10269,-7987,73.75468546625626,32.833331281622,26.064438017084818
2021-07-27,-9825,18467,-8642,69.54097792873064,37.87931013258159,24.595861079347998
2021-08-03,-1466,12104,-10638,74.21052337565848,33.96279837012052,20.12062509809197
2021-08-10,-13269,25706,-12437,67.61707381110658,42.33501163320325,16.0870832492545
2021-08-17,-21928,34449,-12521,62.779940897486746,47.7164452870139,15.898746664872984
2021-08-24,-2418,18408,-15990,73.67871248135589,37.84299484199771,8.120894150355372
2021-08-31,-2449,15118,-12669,73.66139510979772,35.81795575689683,15.566915540010314
2021-09-07,4988,3844,-8832,77.81588840909218,28.878657688377874,24.16986166229457
2021-09-14,9562,-2547,-7015,80.37103865125607,24.94491155072446,28.243761350642362
2021-09-21,9422,-9160,-262,80.2928311667998,20.874521438331712,43.38467747359925
2021-09-28,-2280,5346,-3066,73.75580271603421,29.803158814767396,37.097822918768635
2021-10-05,-2653,5451,-2798,73.54743563244716,29.8677877217387,37.698706307033476
2021-10-12,-818,2876,-2058,74.57251230371318,28.28284071744242,39.35786193134683
2021-10-19,-3057,10428,-7371,73.32175117730195,32.93119791217855,27.445572969215938
2021-10-26,-3255,6413,-3158,73.21114344928525,30.4599116122758,36.89154951682698
2021-11-02,7219,1761,-8980,79.06218053639162,27.596543276747134,23.838030537431894
2021-11-09,16202,-10045,-6157,84.0803079140388,20.329792079573572,30.16748503396785
2021-11-16,13458,-9549,-3909,82.54744121869606,20.635086725838022,35.20773076836842
2021-11-23,28014,-22772,-5242,90.67878510259146,12.496153041251707,32.21900854240936
2021-11-30,33933,-25451,-8482,93.98528582042444,10.847192643383847,24.954597430550884
2021-12-07,25778,-24885,-893,89.42969985084716,11.195573227629165,41.96991098854286
2021-12-14,33463,-34203,740,93.72273212260698,5.460219368975663,45.631263873007335
2021-12-21,25360,-27271,1911,89.19619464725632,9.72695825588123,48.25676554337347
2021-12-28,14104,-15035,931,82.90831289697282,17.25838021493728,46.05950539225578
2022-01-04,21725,-26892,5167,87.16559317583835,9.960237834377654,55.55705029035224
2022-01-11,21271,-23005,1734,86.91197747624447,12.352738419115385,45.76093294460642
2022-01-18,30206,-29683,-523,91.90329085922095,8.242339935740402,40.49679300291545
2022-01-25,30102,-35051,4949,91.84519387076772,4.938264006007411,53.25947521865889
2022-02-01,-989,11998,-11009,74.47698744769875,33.897553949749486,15.628369193268645
2022-02-08,7972,3286,-11258,79.48282507778852,28.53520121133037,15.04476632447382
2022-02-15,9342,5990,-15332,80.24814117568194,30.1995494441914,5.496179627806685
2022-02-22,13909,-5578,-8331,82.79938104362301,23.079290436152796,21.905029766090095
2022-03-01,12137,11412,-23549,81.80949774036232,33.53686309750963,0.0
2022-03-08,26616,-14391,-12225,89.89782750780678,17.65477084436128,23.33017429642754
2022-03-15,18974,-4976,-13998,85.6288161062728,23.449829502788276,19.677366187317155
2022-03-22,2812,16669,-19481,76.60032065068627,36.772617039872955,8.38106226049693
2022-03-29,-11227,34036,-22809,68.75778583439006,47.46223825292677,1.5245786806213688
2022-04-05,-8634,26245,-17611,70.20630017149784,42.666773355655955,12.233713791256335
2022-04-12,12989,113,-13102,82.28544614576758,26.582177193997513,21.52334253574519
2022-04-19,8149,4171,-12320,79.58170168313679,29.07993057008851,23.134451357699124
2022-04-26,15833,-9721,-6112,83.87417533000766,20.529218421085027,35.924430343236224
2022-05-03,16092,-6367,-9725,84.01885917625174,22.59365036376842,28.480777947175408
2022-05-10,13469,-8099,-5370,82.55358609247476,21.527581155441755,37.4531295067782
2022-05-17,15174,-9239,-5935,83.50604152817425,20.8258958797533,36.289093081709176
2022-05-24,13725,-11098,-2627,82.69659406405194,19.681656469661345,43.10437183237875
2022-05-31,5611,3875,-9486,78.16391171492255,28.897738603769405,28.973175656186903
2022-06-07,17003,-975,-16028,84.52776645010641,25.91249861509485,15.495076022909885
2022-06-14,28402,-20930,-7472,90.8955315595131,13.629928723548312,33.12250195722939
2022-06-21,30806,-27586,-3220,92.23846579260493,9.533071534967316,41.88264864642136
2022-06-28,24190,-19930,-4260,88.54260352715755,14.245442123275025,39.739997527710244
2022-07-05,30895,-25919,-4976,92.28818340772355,10.559132372311746,38.26486464213606
2022-07-12,19416,-9589,-9827,85.875728307199,20.610466189848953,28.270633318224895
2022-07-19,28117,-19555,-8562,90.73632346615571,14.47625964817254,30.87683876550332
2022-07-26,31809,-25473,-6336,92.79876655624514,10.833651348589859,35.46293625612922
2022-08-02,24712,-9094,-15618,88.83420571920162,20.915145322713677,16.339775021632537
2022-08-09,21075,-1167,-19908,86.8024869980057,25.794320042347323,7.501339156949195
2022-08-16,6846,15522,-22368,78.85381345280457,36.06662317038642,2.433145164613293
2022-08-23,38033,-18979,-19054,96.27564786521499,14.830795366415128,9.260785364044667
2022-08-30,26807,-2850,-23957,90.00452486160069,24.758410990607267,0.0
2022-09-06,22046,1869,-23915,87.34491176519879,27.66301872391762,0.08580885057001593
2022-09-13,11806,15545,-27351,81.62459290211216,36.08077997858013,0.0
2022-09-20,3485,21582,-25067,76.9762752009653,39.796634372730296,4.363775315246466
2022-09-27,-48,24473,-24425,75.00265346822262,41.576083611340216,5.590370653419947
2022-10-04,-3761,21330,-17569,72.92847925546475,39.64152499599916,18.68933893771494
2022-10-11,8528,9471,-17999,79.79342051605768,32.342151588640085,17.867787542988154
2022-10-18,1515,12202,-13717,75.87578416968789,34.02311868329374,26.048910966755827
2022-10-25,5700,10648,-16348,78.21362933004117,33.06661086011842,21.022162781811236
2022-11-01,-15249,29072,-13823,66.51099653093944,44.40682973668337,25.84638899503248
2022-11-08,-2414,16144,-13730,73.68094698091178,36.44947250501644,26.024073366450132
2022-11-15,-5256,13346,-8090,72.09333504644965,34.7272660125811,36.79977072984333
2022-11-22,3046,3441,-6487,76.73103887470603,28.630605788288012,39.862437905999236
2022-11-29,9755,-56,-9699,80.47885325482791,26.4781554294437,33.72564004585403
2022-12-06,13517,-5021,-8496,82.58040008714548,23.422131399800573,36.02407336645013
2022-12-13,19198,-12779,-6419,85.75394808140283,18.64697844472074,39.9923576614444
2022-12-20,4516,-1285,-3231,77.55221746149678,25.72168946117957,46.08330149025602
2022-12-27,1172,2914,-4086,75.68417583277005,28.306230226632035,44.449751623996946
2023-01-03,1362,4177,-5539,75.79031456167498,29.08362365048687,41.673672143675965
2023-01-10,-8151,13928,-5777,70.47611599287194,35.08549481122204,41.21895299961788
2023-01-17,-20633,30544,-9911,63.50336012870717,45.31286546108109,33.320596102407336
2023-01-24,-25261,37079,-11818,60.918044142538726,49.335245528295154,29.677111196025983
2023-01-31,-15858,32053,-16195,66.1707939735547,46.2416751812687,21.31448223156286
2023-02-07,-14919,30152,-15233,66.69534274430063,45.07158420838822,23.15246465418418
2023-02-14,-22824,43337,-20513,62.27941299696667,53.187128383784916,13.064577760794803
2023-02-21,-14069,34620,-20551,67.17017389992793,47.80434943230796,12.991975544516622
2023-02-28,-23829,42004,-18175,61.7179949835485,52.350811516390415,17.531524646541843
2023-03-07,-12425,36075,-23650,68.08855321740005,48.70021919562594,7.071073748567062
2023-03-14,-6472,35052,-28580,71.41404718145812,48.070339630076596,0.0
2023-03-21,-5120,16858,-11738,72.16930803135003,36.86796542127429,31.439825272079002
2023-03-28,-7348,14846,-7498,70.9246917787175,35.62914070388887,39.354850753234146
2023-04-04,-18385,12556,5829,64.75914887911917,34.21914636849494,64.23304523138383
2023-04-11,-2130,7920,-5790,73.83959644938021,31.364677486885206,42.543261961208906
2023-04-18,2673,6417,-9090,76.52267179111898,30.439253257148486,36.38298269521552
2023-04-25,5130,3469,-8599,77.89521314332639,28.62411644459769,37.299557579943624
2023-05-02,13290,-501,-12789,82.45359223734854,26.17971578454794,29.47786966342474
2023-05-09,21387,-10922,-10465,86.97677796336538,19.763317981429942,33.81619966771827
2023-05-16,19964,-7158,-12806,86.18185474635636,22.080880723099277,29.446134891448413
2023-05-23,14509,-5669,-8840,83.134555977007,22.997684900130533,36.849670518396834
2023-05-30,8512,4884,-13396,79.78448251783409,29.49535748590006,28.344751628740504
2023-06-06,8848,2471,-11319,79.97218048052913,28.009629830308107,32.22199406373089
2023-06-13,15680,-1252,-14428,83.78870572199473,25.717311528704776,26.418264294648026
2023-06-20,15993,-8872,-7121,83.96355531224339,21.02553998473019,40.058615990591576
2023-06-27,17242,-11371,-5871,84.66127779857104,19.4819029322299,42.39205510649816
2023-07-04,5458,-3883,-1575,80.33947796497158,20.180908166767026,50.411618660045924
2023-07-11,10948,-8013,-2935,83.4951400504676,17.506782437533587,47.87283690193956
2023-07-18,1199,4393,-5592,77.89139694090463,25.53951943435442,42.91287871716851
2023-07-25,-10672,7629,3043,71.06792433308617,27.634790828978975,59.03227612985122
2023-08-01,-11405,11867,-462,70.6465945865163,30.378845269775905,52.489312848849146
2023-08-08,-10879,13627,-2748,70.94894035281337,31.51842427303277,48.22191939367918
2023-08-15,5169,-4716,-453,80.1733602340593,19.641550604430112,52.50611361048367
2023-08-22,13830,-14434,604,85.15171894489374,13.349261539856128,54.47926972689429
2023-08-29,16162,-10908,-5254,86.49215682893322,15.632304474790052,43.54384065410965
2023-09-05,13550,-5696,-7854,84.99077443051507,19.00701229579845,38.69028729302395
2023-09-12,9056,-9508,452,82.40761497473746,16.538787772835285,66.20601582632095
